Genre,Original_Language,Release_Date,Vote_Average,Overview,Title
"Action, Adventure, Science Fiction",en,2021-12-15,8.3,forcing;he;become,Spider-Man: No Way Home
"Crime, Mystery, Thriller",en,2022-03-01,8.1,second;Riddler.;serial,The Batman
Thriller,en,2022-02-25,6.3,addict;a;the,No Exit
"Animation, Comedy, Family, Fantasy",en,2021-11-24,7.7,a;the;unique,Encanto
"Action, Adventure, Thriller, War",en,2021-12-22,7.0,time;history's;gather,The King's Man
"Action, Crime, Thriller",en,2022-01-07,6.6,kidnap;the;worth,The Commando
"Horror, Mystery, Thriller",en,2022-01-12,6.8,the;of;targeting,Scream
Thriller,en,2022-02-10,6.3,Seeking;she;but,Kimi
"Action, Crime, Fantasy",en,2022-02-17,5.3,threat;superpowered;Kai,Fistful of Vengeance
Science Fiction,en,2021-11-03,7.2,"who;enemy,;most",Eternals
"Action, Crime, Thriller",en,2022-02-18,5.9,Breslin;joins;has,Pursuit
"Animation, Action, Fantasy, Adventure",ja,2021-08-06,7.3,place;to;the,My Hero Academia: World Heroes' Mission
"Action, Thriller, Crime",fr,2022-02-25,5.9,"accident,;corrupt;an",Restless
"Crime, Drama, Thriller",en,2021-12-02,7.1,a;well-chosen;female,Nightmare Alley
"Animation, Comedy, Adventure, Family",en,2022-01-28,7.1,brothers;off;The,The Ice Age Adventures of Buck Wild
"Animation, Family, Fantasy, Comedy, Adventure",en,2022-02-25,7.0,a;they;drive,Hotel Transylvania: Transformania
Horror,en,2022-02-18,5.1,this;an;life,Texas Chainsaw Massacre
Thriller,en,2022-01-28,4.6,"elements,;romantic;a",The Requin
"Action, Comedy, Crime",hi,2022-02-04,6.0,Savi;break;curious,Looop Lapeta
"Action, Comedy, Crime, Thriller",en,2021-11-04,6.8,global;and;most,Red Notice
"Animation, Comedy, Family, Music",en,2021-12-01,8.2,his;in;the,Sing 2
Horror,en,2022-01-03,5.4,claim;victims.;a,The Jack in the Box: Awakening
"Science Fiction, Action, Adventure",en,2021-09-30,7.1,the;must;body,Venom: Let There Be Carnage
"Science Fiction, Action, Adventure",en,2021-12-16,6.8,he;unexpected;Neo's,The Matrix Resurrections
"Horror, Action, Science Fiction",en,2021-11-24,6.1,evil;exodus;the,Resident Evil: Welcome to Raccoon City
"Action, Thriller",en,2021-10-19,6.3,is;a;are,Last Man Down
"Action, Thriller, Crime, Drama",en,2022-01-07,5.4,of;gang;hostage.,American Siege
"Action, Adventure",en,2022-02-10,7.1,greatest;clues;Sullivan,Uncharted
"Animation, Action, Adventure, Fantasy",ja,2020-10-16,8.4,who;scared;defeat,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train
"Fantasy, Comedy, Adventure",en,2021-11-11,7.7,and;Ghostbusters;her,Ghostbusters: Afterlife
"Action, Thriller",en,2022-01-05,6.1,from;chaos.;together,The 355
"Action, Adventure, Fantasy",en,2021-09-01,7.7,he;he;drawn,Shang-Chi and the Legend of the Ten Rings
"Romance, Comedy, Music",en,2022-02-09,6.9,are;and;before,Marry Me
Horror,en,2022-01-21,5.8,specialist;mysterious;truth,The Hunting
"Drama, Romance, Crime",en,2021-12-08,7.4,tensions;but;fall,West Side Story
"Romance, Drama",es,2022-02-04,7.8,feelings;objections.;Raquel's,Through My Window
"Animation, Fantasy",ja,2021-07-02,8.0,With;was;of,The Seven Deadly Sins: Cursed by Light
Action,en,2021-11-05,6.8,insurgents;the;off,One Shot
"Animation, Comedy, Family, Western",en,2022-01-24,7.1,tootin’;a;ready,Tom and Jerry: Cowboy Up!
"Drama, History, Adventure",ru,2020-10-15,6.2,story.;the;an,Chernobyl: Abyss
"Western, Action",en,2022-02-25,6.8,escape;to;who’s,Desperate Riders
"Family, Adventure, Comedy, Fantasy",en,2021-11-10,7.3,York;a;puppy,Clifford the Big Red Dog
Comedy,en,2022-02-25,6.7,hallelujer!;as;And,Tyler Perry's A Madea Homecoming
"Animation, Comedy, Adventure, Family",en,2021-07-01,7.6,baby;can-do;each,The Boss Baby: Family Business
"Animation, Family, Comedy, Fantasy",en,2022-03-10,8.6,–;a;teenager,Turning Red
"Thriller, Mystery, Drama",en,2022-01-13,4.8,to;motive;killer,Brazen
"Animation, Drama, Comedy, Horror",en,2022-01-14,7.1,"eras,;a;in",The House
"Action, Thriller",en,2022-02-10,5.1,his;a;been,Blacklight
"Animation, Science Fiction, Family, Comedy",en,2021-10-15,8.1,"where;quite;talking,",Ron's Gone Wrong
"Comedy, Action, Adventure, Science Fiction",en,2021-08-11,7.7,open;game;character,Free Guy
"Comedy, Crime",en,2021-05-26,8.2,and;able;London,Cruella
"Action, Adventure, Fantasy",en,2021-07-28,7.7,"X;Quinn,;Bloodsport,",The Suicide Squad
"Animation, Comedy, Fantasy",en,2021-11-12,6.6,Plusaversary;friends;The,The Simpsons in Plusaversary
"Drama, War",en,2022-01-17,6.3,as;they;and,Forgive Us Our Trespasses
"Animation, Comedy, Family, Fantasy",en,2021-06-17,8.0,threatened;all;best,Luca
"Action, Fantasy, Adventure",en,2021-04-07,7.2,prepares;enemies;high,Mortal Kombat
"Action, Adventure, Fantasy, Science Fiction",en,2021-03-18,8.3,Superman's;ultimate;ensure,Zack Snyder's Justice League
"Science Fiction, Thriller",en,2021-12-17,5.8,Man’s;reaching;their,Mother/Android
"Comedy, Drama",fr,1986-11-04,5.5,is;off;amorous,Exploits of a Young Don Juan
"Science Fiction, Adventure",en,2021-09-15,7.9,and;in;a,Dune
"Fantasy, Adventure, Comedy",ru,2021-01-01,7.1,"gap;cut;danger,",The Last Warrior: Root of Evil
Horror,de,2022-02-09,5.1,conspiracy;friends;his,The Privilege
Horror,en,2021-06-11,6.4,"performing;legend,;summon",Queen of Spades
"Drama, Horror, Mystery",en,2021-10-28,6.4,consequences.;have;is,Antlers
"Action, Thriller",en,2021-11-05,6.4,deadly;to;he,Dangerous
"Romance, Drama",en,2021-09-01,7.2,furious;the;Just,After We Fell
"Adventure, Action, Thriller",en,2021-09-29,7.5,than;the;help.,No Time to Die
"Action, Crime, Thriller",hi,2021-11-05,5.8,city.;a;forgetful,Sooryavanshi
"Science Fiction, Drama, Adventure",en,2021-11-04,8.1,to;about;learns,Finch
"Thriller, Horror",es,2021-07-23,5.4,"up;woman,;to",Two
"Animation, Family, Adventure, Comedy",en,2021-08-09,7.5,turning;to;pups,PAW Patrol: The Movie
"Adventure, Action, Science Fiction",en,2018-04-25,8.3,six;large;continued,Avengers: Infinity War
"Fantasy, Action",en,1989-06-23,7.2,control;seizes;a,Batman
"Action, Adventure, Science Fiction",en,2021-07-07,7.5,that;at;Avenger.,Black Widow
"Animation, Comedy",en,2022-02-18,5.7,winter;Mickey;of,The Wonderful Winter of Mickey Mouse
"Action, Crime, Thriller, Adventure",en,2021-05-19,7.3,encountered:;ever;brother.,F9
"Action, Adventure, Science Fiction",en,2022-02-03,5.9,it.;hurtling;sends,Moonfall
"Comedy, Drama",es,2022-02-04,2.2,of;and;is,"Sex, Shame and Tears 2"
"Animation, Comedy, Family",en,2021-12-03,6.5,active;he;ambitious,Diary of a Wimpy Kid
"Comedy, Romance, Science Fiction",th,2022-02-15,5.3,to;tries;falls,AI Love You
"Action, Science Fiction, Comedy, Family",en,2022-03-30,0.0,Green;journey;Sonic,Sonic the Hedgehog 2
"Mystery, Family",en,2022-02-17,5.7,spooky;from;magical,Erax
"Animation, Action, Adventure, Science Fiction",en,2020-08-04,6.9,to;Deathstroke;assassin,Deathstroke: Knights & Dragons - The Movie
"Action, Drama, History",en,2021-10-13,7.6,Charles;a;Jean,The Last Duel
"Action, Adventure, Comedy, History",ko,2022-01-26,6.6,at;and;bandits,The Pirates: The Last Royal Treasure
"Horror, Mystery, Thriller",en,2021-10-29,6.5,about;a;occurrences,Paranormal Activity: Next of Kin
"Drama, Crime, Thriller",en,2021-11-24,6.8,When;and;unbridled,House of Gucci
"Romance, Horror, Thriller",ru,2021-02-11,6.7,heartbroken;her;when,Dark Spell
"Action, Adventure, Comedy, Fantasy",en,2021-07-28,7.6,medicine.;his;power,Jungle Cruise
"Action, Fantasy, Science Fiction",en,2021-03-24,7.8,time;most;the,Godzilla vs. Kong
"Action, Adventure, Fantasy",en,2012-06-23,6.7,outcast;is;Curt,The Amazing Spider-Man
"Romance, Crime",en,2022-02-17,5.6,planning;together;past,Heart Shot
"Action, Adventure, Fantasy, Science Fiction",en,2009-12-10,7.5,"alien;between;mission,",Avatar
"Animation, Action, Drama, Science Fiction",ja,2021-06-11,7.8,woman;insurgency;mysterious,Mobile Suit Gundam Hathaway
"Crime, Comedy",en,2021-10-27,6.9,of;teller;a,Army of Thieves
"Drama, Romance",tr,2022-02-23,5.2,path;tragedy;and,UFO
"Thriller, Mystery",en,2022-03-03,5.9,best;what;When,The Weekend Away
"Animation, Family, Adventure, Fantasy, Comedy",en,2020-11-25,7.6,paradise;epic;neighbors,The Croods: A New Age
"Animation, Family, Adventure, Comedy",en,2021-12-03,7.7,Tired;them;of,Back to the Outback
"Action, Science Fiction, Adventure",en,2021-07-02,8.0,the;travelers;father,The Tomorrow War
"Family, Comedy",en,2022-01-28,6.9,football;to;he,Home Team
Drama,en,2021-03-17,7.4,feels;dynamic;Quinton,The Fallout
"Family, Fantasy, Animation, Action, Adventure",en,2021-03-03,8.0,to;returned;world,Raya and the Last Dragon
"Science Fiction, Action, Thriller",en,2021-09-09,6.8,secret;brink;he,Infinite
"Action, Crime, Thriller",en,2021-04-22,7.7,guard;a;steps,Wrath of Man
"Crime, Action, Thriller",en,2021-12-17,6.2,retired;on;hellbent,Fortress
"Family, Animation, Comedy, Science Fiction",en,2021-07-08,7.1,over;the;highest-stakes,Space Jam: A New Legacy
"TV Movie, Mystery, Thriller, Comedy",es,2022-01-13,7.3,years;the;murdered.,Laura y el misterio del asesino inesperado
"Horror, Mystery, Thriller",en,2021-05-25,7.7,cases;one;anything,The Conjuring: The Devil Made Me Do It
"Action, Crime, Drama",en,2005-06-10,7.7,a;by;corruption,Batman Begins
"Romance, Comedy",en,2022-01-20,6.8,do;Thomas;isn’t,The Royal Treatment
"Animation, Comedy, Family, Fantasy",en,2021-11-12,7.5,entire;in;human,Ciao Alberto
"TV Movie, Thriller, Crime",en,2021-06-05,7.8,"wealthy,;mother-of-five;mysteriously",Gone Mom: The Disappearance of Jennifer Dulos
Horror,en,2021-06-28,6.6,forces;a;and,Ripper Untold
"Horror, Science Fiction, Drama, Thriller",fr,2021-05-26,6.1,quickly;safe;will,Meander
"Thriller, War",en,2021-11-18,5.3,rebel;bits.;stop,Zeros and Ones
"Action, Adventure",en,2021-07-22,6.8,clan;Arashikage;and,Snake Eyes: G.I. Joe Origins
"Action, Thriller, Crime",en,2021-10-08,5.8,Cal;-;two,Survive the Game
"Animation, Fantasy, Music, Adventure, Comedy, Family",en,2021-05-28,5.2,girl;the;as,Riverdance: The Animated Adventure
"Action, Thriller, Science Fiction",en,2021-11-12,5.4,sentence;six;breaks,Apex
"Documentary, Crime",en,2022-02-02,7.1,some;online;women,The Tinder Swindler
"Romance, Comedy",tr,2022-02-11,6.7,designer-blogger;so;make,Love Tactics
"Animation, Adventure, Comedy, Family",en,2021-10-01,7.2,unsuspecting;hilarious;sorts,The Addams Family 2
"Action, Adventure, Fantasy",cn,2021-04-27,6.5,all;In;Dynasty.,Dynasty Warriors
"Animation, Comedy, Family, Adventure",fr,2021-05-15,7.9,"Ladybug!;stuff,;heads",Miraculous World: Shanghai – The Legend of Ladydragon
"Animation, Family, Comedy, Adventure, TV Movie",fr,2020-11-21,8.3,akumatised;to;whom,"Miraculous World: New York, United HeroeZ"
Documentary,en,2022-03-03,6.9,family;herds;faces,Surviving Paradise: A Family Tale
"Animation, Action, Fantasy, Adventure",ja,2019-12-20,8.4,to;on;in,My Hero Academia: Heroes Rising
"War, History, Drama",en,2021-11-04,6.5,In;defend;Amina,Amina
"Adventure, Drama",en,2021-12-03,6.4,an;takes;in,Encounter
"Horror, Thriller",en,2021-08-06,6.0,her;forces;from,Son
"Action, Adventure, Fantasy",en,2020-12-16,6.6,puts;and;ancient,Wonder Woman 1984
"Action, Adventure, Fantasy",en,2014-04-16,6.5,"he;cannot;emerges,",The Amazing Spider-Man 2
Horror,th,2021-12-02,6.5,secrets;sinister;wall,The Whole Truth
"Animation, Action, Crime",en,2022-02-07,6.2,a;mention;attempt,Catwoman: Hunted
"Drama, History, War",en,2016-10-07,8.2,becomes;first;Objector,Hacksaw Ridge
Action,zh,2021-05-06,7.3,"swore;circumstances,;suspicious",Crazy Fist
"Adventure, Fantasy",en,2001-11-16,7.9,Potter;uncle's;for,Harry Potter and the Philosopher's Stone
"Science Fiction, Action, Adventure",en,2012-04-25,7.7,a;recruitment;the,The Avengers
"Horror, Fantasy, Mystery",en,2021-06-15,6.1,to;mountains;to,Dragon Fury
"Horror, Drama",es,2021-07-29,5.1,strange;affects;prowls,Tarumama
"Action, Adventure, Fantasy, Science Fiction",en,2016-10-25,7.4,career;wing;life,Doctor Strange
"Horror, Thriller",en,2021-10-14,6.8,"matters;Haddonfield,;Michael",Halloween Kills
Horror,en,2022-02-10,5.6,"However,;to;a",The Exorcism of God
"Action, Adventure, Science Fiction",en,2019-06-28,7.5,will;mystery;destruction,Spider-Man: Far From Home
Documentary,en,2022-01-01,8.0,through;in-depth;on,Harry Potter 20th Anniversary: Return to Hogwarts
"Romance, Drama",en,2020-09-02,7.3,her;Hardin;;change,After We Collided
Thriller,en,2022-02-17,5.8,incident.;child;woman,The Desperate Hour
"Action, Animation, Science Fiction",ja,2015-04-18,6.8,subsequently;day;aim,Dragon Ball Z: Resurrection 'F'
"Animation, Family, Comedy",en,2021-10-28,7.1,"heart,;and;the",Seal Team
"Action, Mystery, Science Fiction, Thriller",en,2009-03-19,6.1,has;teacher;some,Knowing
"Fantasy, Horror, Thriller, Drama",en,2021-10-01,7.2,law;demons;where,Witch Hunt
"Action, Mystery, Science Fiction, Thriller",en,2014-09-10,7.2,in;fellow;with,The Maze Runner
Horror,en,2021-03-31,6.8,and;word;and,The Unholy
"Action, Adventure, Thriller",ko,2019-12-19,6.6,from;day;Baekdu,Ashfall
"Drama, Romance, Music",en,2022-02-11,5.8,Lennie;finds;musical,The Sky Is Everywhere
"Romance, Drama",en,2021-09-09,6.2,an;them;to,Time Is Up
Horror,en,2021-06-30,6.5,soon;they;crimes.,The Deep House
"Animation, Action, Comedy",ja,2015-08-07,7.7,Hokage;with;Boruto,Boruto: Naruto the Movie
"Adventure, Fantasy",en,2002-11-13,7.7,"wall;start;fly,",Harry Potter and the Chamber of Secrets
"Action, Science Fiction, Comedy, Family",en,2020-02-12,7.4,Sonic;his;new,Sonic the Hedgehog
"Family, Animation, Fantasy, Music, Comedy, Adventure",en,2017-10-27,8.2,the;becoming;on,Coco
Drama,fr,2017-06-21,6.0,normal;their;big,Ava
"War, Drama, Action",en,2014-10-15,7.5,called;the;battle-hardened,Fury
"Thriller, Horror",en,2021-08-12,7.4,a;life;safe,Don't Breathe 2
"Action, Comedy, Adventure",es,2021-10-01,7.8,"""The;estranged;Tony",Matando Cabos 2: La Máscara del Máscara
"Action, Fantasy, Adventure",en,2020-12-03,6.8,of;Cpt.;a,Monster Hunter
"Action, Romance, Animation",ja,2014-12-06,7.9,Kaguya;mount;battle,The Last: Naruto the Movie
"Action, Adventure, Science Fiction, Drama",en,2017-07-05,7.4,school;Civil;life,Spider-Man: Homecoming
"Science Fiction, Comedy",fr,2022-02-11,5.4,have;even;nostalgic,Bigbug
"Fantasy, Action",en,2002-05-01,7.2,a;After;powers,Spider-Man
"Adventure, Science Fiction, Action",en,2019-04-24,8.3,due;once;is,Avengers: Endgame
"Thriller, Mystery, Horror",en,2021-07-21,6.6,entire;a;somehow,Old
"Action, Science Fiction, Drama",en,2011-09-28,6.9,train;when;the,Real Steel
"Romance, Comedy",ko,2022-02-11,6.3,"hurt;play,;never",Love and Leashes
"Romance, Drama",en,2019-04-11,7.2,"dedicated;question;college,",After
"Horror, Action, Thriller",en,2021-06-30,7.3,All;chase;sect,The Forever Purge
"Comedy, Drama, Romance",en,2022-02-11,6.0,"Jodi;now;tall"".",Tall Girl 2
"Drama, Comedy",en,2022-02-17,8.3,road;friend's;funeral.,Dog
"Drama, Science Fiction, Thriller",en,2007-12-12,7.2,virus;desperate;was,I Am Legend
"Animation, Action, Fantasy",ja,2007-08-04,7.2,"away;to;world,",Naruto Shippuden the Movie
"Comedy, Family, Animation",en,2021-02-10,7.0,of;mouse;Jerry,Tom & Jerry
"Adventure, History, Drama",en,2022-02-10,7.0,ice-covered;survive;after,Against the Ice
"Animation, Comedy",es,2021-08-12,8.1,for;a;in,An Egg Rescue
"Adventure, Fantasy, Family",en,2005-11-16,7.8,for;he;only,Harry Potter and the Goblet of Fire
"Animation, Action, Adventure, Comedy, Drama, Fantasy, Romance",ja,2021-02-11,8.1,Sailor;the;all,Pretty Guardian Sailor Moon Eternal The Movie Part 2
"Horror, Thriller",en,2021-07-29,4.8,when;woman;root,Demonic
"Animation, Family",en,2021-11-24,8.1,frustrated;better;safe.,Far From the Tree
"Horror, Thriller, Adventure, Mystery",en,2020-07-09,5.1,"brought;adventure-loving;remote,",Black Water: Abyss
"Animation, Drama, Romance",ja,2020-12-11,6.7,a;picture;One,"Yes, No, or Maybe Half?"
"Family, Animation, Fantasy, Adventure, Comedy",en,2020-08-14,7.6,far;best;mission,The SpongeBob Movie: Sponge on the Run
"Action, Adventure, Animation, Science Fiction",en,2018-12-06,8.4,Morales;a;is,Spider-Man: Into the Spider-Verse
"Adventure, Fantasy",en,2004-05-31,8.0,within;and;back,Harry Potter and the Prisoner of Azkaban
"Crime, Action, Thriller",en,2021-03-03,7.1,inside;World;a,The Vault
"Science Fiction, Adventure, Comedy",en,2022-03-09,6.0,time-traveling;teams;future.,The Adam Project
"Action, Adventure, Comedy",en,2016-02-09,7.6,mercenary;alter;who,Deadpool
Western,en,2021-10-22,6.7,ruthless;who;prison.,The Harder They Fall
"Animation, Comedy, Family",en,2001-11-01,7.8,though;are;even,"Monsters, Inc."
"Adventure, Animation, Family, Fantasy",en,2021-02-09,7.1,goofy;epic;on,Ainbo: Spirit of the Amazon
"Comedy, Drama, Science Fiction",en,2021-12-07,7.2,of;on;comet,Don't Look Up
"Animation, Adventure, Comedy, Family",en,2017-06-15,6.8,young;get;from,Cars 3
"Fantasy, Action, Adventure",en,2007-05-01,6.3,in;seemingly;triangle.,Spider-Man 3
"Western, Action, Thriller",en,2021-12-03,6.4,he;remote;her,Last Shoot Out
Horror,en,2019-07-21,5.4,supernatural;entity;them.,Sator
"Adventure, Action, Science Fiction",en,2010-04-28,6.8,as;the;Rhodes,Iron Man 2
"Animation, Comedy, Fantasy, Family",en,2020-12-25,8.2,teacher;the;Earth.,Soul
"Adventure, Action, Fantasy",en,2011-05-14,6.5,which;--;not,Pirates of the Caribbean: On Stranger Tides
"Horror, Thriller",en,2021-02-28,5.4,government;supervision;the,Phobias
"Science Fiction, Thriller, Horror",en,2021-05-21,7.6,into;that;sand,A Quiet Place Part II
"Horror, Drama, Thriller",it,1972-10-14,5.7,"mother,;who;may",What the Peeper Saw
"Action, Crime",en,2023-04-06,0.0,tenth;The;installment,Fast & Furious 10
"Action, Crime, Drama, Thriller",en,2012-07-16,7.8,villainous;years;him,The Dark Knight Rises
"Animation, Fantasy, Family",en,2021-11-26,7.6,Secret;plans;Poppy,Trolls Holiday in Harmony
"Action, Adventure, Fantasy",en,2016-03-23,5.9,"formidable,;of;a",Batman v Superman: Dawn of Justice
"Thriller, Horror",en,2021-09-01,7.2,her;motherly;to,Motherly
"Action, Crime, Thriller",en,2021-03-18,8.2,will;is;rage,Nobody
"Animation, Action, Adventure, Fantasy",ja,2018-08-03,8.0,the;items;where,My Hero Academia: Two Heroes
"Adventure, Fantasy",en,2009-07-07,7.7,no;recruits;key,Harry Potter and the Half-Blood Prince
"Comedy, Romance",en,2022-01-06,5.3,Spanish;fly.;promote,Book of Love
"Action, Science Fiction, Thriller",en,2021-08-26,5.0,Their;using;the,Jurassic Hunt
Drama,en,2021-12-25,7.2,Super;store;Kurt,American Underdog
"Drama, Action, Crime, Thriller",en,2008-07-14,8.5,the;be;soon,The Dark Knight
"Animation, Action, Adventure, Mystery",ja,2021-02-24,7.8,a;to;enough,Jujutsu Kaisen 0
"Action, Crime, Drama, Thriller",en,2020-07-02,5.7,forced;goes;A,Ava
"Romance, Drama",es,2010-12-03,7.8,love;impossible;to,Three Steps Above Heaven
"Comedy, Drama",ko,2021-08-11,7.1,colleagues;the;house,Sinkhole
"Action, Thriller",en,2010-05-22,7.5,inmate;freedom;-,Undisputed III: Redemption
"Animation, Adventure, Family, Comedy",en,1995-10-30,8.0,Buzz;losing;from,Toy Story
"Family, Fantasy, Adventure, Comedy, Horror",en,2020-10-25,6.5,"As;Alabama;witches,",Roald Dahl's The Witches
Comedy,es,2021-12-25,3.5,daughter;the;while,El Paseo 6
"Horror, Drama",en,2021-04-30,5.7,artist;the;young,Separation
"Animation, Science Fiction, Action",ja,2022-04-22,0.0,Red;was;and,Dragon Ball Super: Super Hero
Romance,en,2022-08-25,0.0,"different;emerges,;so",After Ever Happy
"Drama, Thriller, War",en,2009-01-22,7.1,goes;to;children.,Brothers
"Animation, Comedy, Fantasy, Adventure, Family",en,2001-05-18,7.7,the;compatriot;clutches,Shrek
"Action, Comedy, Documentary",en,2022-02-01,7.1,"the;absurd;hilarious,",Jackass Forever
"Adventure, Family, Animation, Action, Comedy",en,2014-10-24,7.8,friends;inflatable;band,Big Hero 6
"Animation, Comedy, Fantasy",en,2021-04-02,7.5,pets;monster;out,Monster Pets: A Hotel Transylvania Short
"Romance, Comedy",es,2015-03-03,6.2,Spanish;is;of,Off Course
"Action, Adventure, Fantasy",en,2014-12-10,7.3,defend;falls;Laketown,The Hobbit: The Battle of the Five Armies
"Action, Adventure",ru,2021-04-01,6.8,criminals;in;his,Major Grom: Plague Doctor
"Animation, Family",en,2021-01-13,7.1,"Monster;Starr,;new",Monster Family 2
"Action, Crime, Thriller",en,2021-07-14,6.4,gang;but;her,Gunpowder Milkshake
"Crime, Horror",ja,1986-01-18,4.0,A;and;turn,Beautiful Sisters: Flesh Slave
"Action, Drama, Crime",en,2021-01-22,6.7,|;to;save,Narco Sub
"Adventure, Fantasy, Mystery",en,2007-06-28,7.7,Umbridge;has;Hermione,Harry Potter and the Order of the Phoenix
"Crime, Thriller",en,2015-09-09,6.9,London;the;in,Legend
"Animation, Comedy, Mystery, Family, Fantasy",en,2021-09-14,8.2,gang;a;tail,Straight Outta Nowhere: Scooby-Doo! Meets Courage the Cowardly Dog
"TV Movie, Animation, Comedy, Family, Drama",en,2021-08-13,7.0,"family,;they;for",Descendants: The Royal Wedding
"Family, Animation, Adventure, Comedy, Fantasy",en,2019-11-20,7.3,of;about;to,Frozen II
"Horror, Action",en,2021-08-13,7.5,to;into;shark,Swim
"Drama, Science Fiction",zh,2021-08-27,6.6,to;scientists;suitable,Mutation on Mars
"Science Fiction, Thriller, Mystery",en,2021-09-03,5.5,bring;private;daughter,Zone 414
"Fantasy, Adventure",en,2011-07-07,8.1,for;Hermione;quest,Harry Potter and the Deathly Hallows: Part 2
"Action, Adventure, Science Fiction",en,2015-04-22,7.3,dormant;Tony;stop,Avengers: Age of Ultron
"Action, Adventure, Fantasy, Science Fiction",en,2017-10-24,7.6,to;at;Asgard,Thor: Ragnarok
"Horror, Fantasy",en,2019-09-04,6.9,grown;brought;Losers',It Chapter Two
"Family, Animation, Drama",en,1994-06-23,8.3,and;he;of,The Lion King
"Drama, History",en,2021-11-18,8.0,as;the;his,King Richard
"Thriller, Horror, Mystery",en,2021-10-21,7.5,London;encounters;is,Last Night in Soho
"Action, Fantasy",en,1992-06-19,6.9,Catwoman.;a;deals,Batman Returns
"Adventure, Fantasy, Drama, Romance",en,2010-06-23,6.2,most;and;of,The Twilight Saga: Eclipse
"Crime, Drama, Thriller",en,2021-09-03,6.4,new;covering;moved,Wild Indian
Comedy,en,2012-03-01,6.8,as;spreads.;high,Project X
Action,en,2021-08-19,6.6,the;killer;a,The Protégé
"Crime, Thriller, Drama, Action",en,2021-11-05,5.9,turns;her;Red,Ida Red
"Horror, Thriller",en,2013-01-14,5.6,a;an;chilling,The Haunting of Helena
"Action, Adventure, Crime",zh,2020-09-30,6.3,Covert;last;of,Vanguard
"Adventure, Fantasy, Action",en,2003-07-09,7.8,daughter;a;When,Pirates of the Caribbean: The Curse of the Black Pearl
"Animation, Comedy, Family",en,2021-07-07,7.5,paying;crossover;Simpson,"The Simpsons: The Good, the Bart, and the Loki"
"Action, Thriller, Crime",en,2021-01-15,7.0,protector;mother;the,The Marksman
"Adventure, Family, Drama",fr,2021-12-15,7.3,this;the;from,Vicky and Her Mystery
"Animation, Adventure, Comedy, Fantasy",ja,2019-08-30,8.4,When;her;fellow,KonoSuba: God's Blessing on this Wonderful World! Legend of Crimson
"Drama, Crime",pt,2021-10-22,7.1,to;trafficker;weigh,7 Prisoners
Documentary,es,2022-02-23,6.5,terrorist;March;hunt,11M
"Science Fiction, Action",ko,2021-04-12,7.6,intelligence;agent;the,Seobok: Project Clone
"Animation, Family, Comedy, Fantasy, Adventure",en,2004-05-19,7.2,hard;get;married,Shrek 2
"Adventure, Fantasy, Family",en,2010-02-01,6.2,"entire;his;teenager,",Percy Jackson & the Olympians: The Lightning Thief
"Romance, Animation, Drama",ja,2016-08-26,8.5,continues;wakes;must,Your Name.
Comedy,en,2021-12-17,5.9,with;Beecroft;to,Chief Daddy 2: Going for Broke
"Adventure, Action, Science Fiction",en,2016-04-27,7.4,"Iron;causes;Ultron,",Captain America: Civil War
"Crime, Thriller, Drama",en,2019-10-02,8.2,the;an;During,Joker
"Crime, Drama, Thriller, Action",en,2012-12-20,6.6,Jack;custody.;to,Jack Reacher
"Comedy, Drama",it,2022-03-04,6.7,plot;fathers;son,The Invisible Thread
"Drama, Action, Thriller",en,2021-08-11,5.9,the;make;on,SAS: Red Notice
"Adventure, Fantasy, Drama",en,2020-09-04,7.0,harness;man;She,Mulan
"Comedy, Romance",en,2022-02-10,6.1,houses;and;their,I Want You Back
"Adventure, Fantasy, Action",en,2006-07-06,7.3,avoid;eternal;Sparrow,Pirates of the Caribbean: Dead Man's Chest
Action,en,2009-09-29,6.5,Ninja;But;follows,Ninja Assassin
"Crime, Drama, Comedy",en,2013-12-25,8.0,corporate;to;A,The Wolf of Wall Street
"Animation, Adventure, Fantasy, Family, TV Movie",en,2021-12-30,7.4,her;—;must,Hilda and the Mountain King
"Action, Adventure, Drama",ja,2021-06-04,7.8,"his;heart,;known",Rurouni Kenshin: The Beginning
"Action, Adventure, Comedy",ml,2021-12-24,7.2,become;by;the,Minnal Murali
"Animation, Adventure, Fantasy, Action, Family",ja,2019-07-12,6.7,wants;invitation;battle.,Pokémon: Mewtwo Strikes Back - Evolution
"Animation, Action, Adventure, Fantasy",ja,2021-07-30,7.0,of;The;has,Fate/Grand Order Final Singularity – Grand Temple of Time: Solomon
"Science Fiction, Action, Adventure, Comedy",en,2014-08-07,5.9,to;York;the,Teenage Mutant Ninja Turtles
"Drama, Romance, Thriller",en,2015-02-11,5.9,the;the;roommate,Fifty Shades of Grey
Action,en,2021-11-15,6.6,fight;underground;fighting,Never Back Down: Revolt
"Animation, Family, Comedy, Fantasy",en,2021-01-15,8.1,of;longing;meets,Wish Dragon
"Animation, Comedy, Family, Adventure",en,2002-03-10,7.3,"on;attack,;Diego",Ice Age
"Action, Adventure, Comedy",en,2019-08-01,6.9,they;since;body,Fast & Furious Presents: Hobbs & Shaw
"Animation, Comedy, Family",en,1999-10-30,7.6,belong.;decide;their,Toy Story 2
Action,en,2021-08-18,6.8,he;for;his,Sweet Girl
