Genre,Original_Language,Release_Date,Vote_Average,Overview,Title
"Action, Adventure, Animation, Science Fiction",ja,2012-12-01,6.5,Senki;the;and,Inazuma Eleven Go vs. Danball Senki W
"Drama, Family",en,1995-04-21,7.9,"save;summer.;Erik,",The Cure
"Action, Drama",zh,2014-11-20,6.2,of;out;the,Rise of the Legend
"Drama, Romance",en,2013-11-27,6.3,her;who;and,The Immigrant
Action,en,2018-11-02,6.9,"Marine,;young;Jake",The Marine 6: Close Quarters
Science Fiction,en,2022-02-04,3.5,entire;partners;crack,Moon Crash
Drama,el,2013-09-09,7.1,Services;off;her?,Miss Violence
"Horror, Thriller",en,2016-12-01,5.4,An;enter;of,Incarnate
"Drama, Action, Comedy",ja,1962-01-01,8.0,jaded;warriors;weed,Sanjuro
"Comedy, Family",en,1997-08-01,5.5,as;experience;and,Air Bud
Documentary,en,2021-06-04,7.5,scientist;averted.;and,Breaking Boundaries: The Science of Our Planet
Drama,it,2021-10-08,6.6,"family.;their;together,","My Brother, My Sister"
"Horror, Thriller, Mystery",en,2013-08-13,6.0,--;he;who,Open Grave
Thriller,en,2012-02-23,6.2,revenge.;job;surviving,Gone
"Family, Comedy",en,2005-05-13,5.8,following;hyper-competitive;every,Kicking & Screaming
Documentary,zh,2016-08-12,7.3,the;mother;Venturing,Born in China
"Fantasy, Animation, Drama, Comedy, Science Fiction, Family",en,2010-12-07,5.7,Donkey;carolling;Deck,Donkey's Christmas Shrektacular
"Comedy, Science Fiction",ru,1973-09-17,8.0,century;scientist;Ivan,Ivan Vasilyevich Changes His Profession
"Comedy, Crime",en,1968-07-19,5.3,wave.;Clouseau;Scotland,Inspector Clouseau
"Action, Thriller",en,1976-12-18,6.2,"disease,;exposed;off",The Cassandra Crossing
"Fantasy, Adventure, Action",en,1982-08-16,6.4,grows;revenge;with,The Beastmaster
"Adventure, Fantasy",en,1966-11-24,6.1,are;each;When,One Million Years B.C.
Horror,es,2007-10-02,6.7,to;a;exorcise,The Wailer 2
"Drama, Romance",en,2010-11-05,6.1,resisting;for;her,Last Night
"Action, Crime",en,1990-10-05,6.0,"from;Agency,;drive",Marked for Death
Drama,fr,2004-01-28,4.8,"progress,;gay;a",Anatomy of Hell
Drama,en,1996-12-18,6.7,20-year;feud;get,Marvin's Room
"Drama, History, War",ja,1983-05-28,7.4,"Lawrence,;1942,;arrives","Merry Christmas, Mr. Lawrence"
"Drama, Thriller",es,2016-09-22,6.4,takes;account;day,The Silence of the Sky
"Drama, Thriller",en,1965-06-17,7.4,which;-;house,The Collector
"Action, Comedy, War",en,1979-12-14,5.8,"the;Harbor,;where",1941
"Crime, Drama, Thriller",en,1956-06-06,7.7,one;Johnny;where,The Killing
"Animation, Family, Adventure",en,1997-09-12,6.1,"over;group,;the",The Land Before Time V: The Mysterious Island
Comedy,en,2002-11-22,6.2,security;Day;Craig,Friday After Next
"Drama, History",fr,1983-01-12,6.8,as;together;the,Danton
"Romance, Comedy",de,2020-02-14,7.0,to;into;broke,Isi & Ossi
"Adventure, Family, Fantasy",en,1985-06-21,6.6,a;delightful;herself,Return to Oz
Drama,en,2015-12-04,5.8,Peace;grew;Mother,The Letters
Drama,en,1940-03-15,7.9,a;them;his,The Grapes of Wrath
"Animation, Comedy, Drama",ja,2017-09-29,8.3,season.;the;Recap,Haikyuu!! Movie 4: Battle of Concepts
Comedy,en,2003-09-26,6.1,little;through!;going,Duplex
